"","median","95%_HPDL","95%_HPDU","Rhat","pd"
"mu",2.55,2.01,3.11,1,1
"delta[1]",1.03,0.19,1.81,1,1
"delta[2]",-1.64,-2.98,-0.26,1,0.99
"delta[3]",-0.42,-1.24,0.29,1,0.87
"delta[4]",1.61,0.82,2.41,1,1
"delta[5]",0.9,-0.11,1.92,1,0.97
"delta[6]",-2.5,-3.64,-1.5,1,1
"delta[7]",-0.68,-2.38,1.11,1,0.79
"delta[8]",0.09,-1.74,1.88,1,0.55
"sigma",0.87,0.55,1.29,1,1
